question,answer,question_arm,answer_arm,generated_responses_arm_ZS,generated_responses_arm_FS,mBERT_Similarity_ZS,mBERT_Similarity_FS
How many players are there on a cricket team?,There are 11 players on a cricket team.,Քանի՞ խաղացող կա կրիկետի թիմում:,Կրիկետի թիմում կա 11 խաղացող:,"Քանի՞ խաղացող կա կրիկետի թիմում:
Հիմա կարողանու...
Հուրի Գեբեշյանը հայտարարել է, որ իր թեկնածուա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Քանի՞ խաղացող կա կրիկետի թիմում:
Answer: A խառը կցորցրած կևին կա։
Questions with multiple responses:
1) Ի՞նչ է անվանու...
2) Ովքե՞ր են «Անդ",0.8298738,0.6864917
"Who painted the famous artwork called ""The Girl with a Pearl Earring""?",Johannes Vermeer.,"Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Մարգարտյա ականջօղով աղջիկը»:",Յոհաննես Վերմեեր.,"Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Մարգարտյա ականջօղով աղջիկը»: Այս հարցի պատասխանը շատ պարզ է. Մաքսիմ Գոր...
Մաֆիան համաշխարհայ...
Այ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Մարգարտյա ականջօղով աղջիկը»:
Answer: «ՄաՐԳԱՐՏՅԱ ԱԿԱՋՕՂՈՎ ԱՂՋԻԿ» նշանավոր արևմտահայ ներկայացուցիչ �",0.58906734,0.5134613
Who is the founder of Microsoft?,Bill Gates.,Ո՞վ է Մայքրոսոֆթ-ի հիմնադիրը:,Բիլ Գեյթս.,"Ո՞վ է Մայքրոսոֆթ-ի հիմնադիրը:
-Այս ընկերություւնը ստեղծվել է ամեր...
Մայիսին Մանկական Եվրատե","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է Մայքրոսոֆթ-ի հիմնադիրը:
Answer: Microsoft-ի և քոլեջի տնօրենը՝ Մարկ Հովարդը։
Questions: Ի՞նչ է անուրանալի երկ�",0.67433345,0.5164266
What is the highest-grossing film of all time?,Avengers: Endgame.,Ո՞րն է բոլոր ժամանակների ամենաբարձր եկամուտ ունեցող ֆիլմը:,Վրիժառուներ. վերջնախաղ.,"Ո՞րն է բոլոր ժամանակների ամենաբարձր եկամուտ ունեցող ֆիլմը:
Ֆիլքն ամբո
Ամելի շատ կինոնկարնեից ես հասկացել, որ «կիրառվող» ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է բոլոր ժամանակների ամենաբարձր եկամուտ ունեցող ֆիլմը:
Answer: The Forbes-ի վարկածով ամբո մեքենա է աշխարհի առաջատար մոլախաղեր վաաաաաայ էս վա՜�",0.7231674,0.6167322
What is the smallest country in the world?,Vatican City.,Ո՞րն է աշխարհի ամենափոքր երկիրը:,Քաղաք Վատիկան.,"Ո՞րն է աշխարհի ամենափոքր երկիրը:
Հետաքրքիր է, որ մեզ մոտ կան նաև միջազգային կազմակեր­պությու­ն","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է աշխարհի ամենափոքր երկիրը:
Answer: TheBigRedBunny(անգլ.)
Վերադառնալ Տեղադրել նյո...
Վիդեո քարտեզ Տուփի վրա Նկար",0.63864994,0.54720604
Who wrote the novel Pride and Prejudice?,Jane Austen,Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:,Ջեյն Օսթին,"Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:
- Հպատակների մեջ կան մարդիկ, որոնք հպացող են, հետաքրքրասեր, հա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:
Answer: «Հեղափոխու­թյան» վավերագրական ֆիլմը։
Questions: Ի՞նչ է այս վիդեոն նկարահ",0.5897285,0.536101
what country was anton van leeuwenhoek from?,Netherlands.,Ո՞ր երկրից էր Անտոն վան Լևենհուկը:,Նիդեռլանդներ.,"Ո՞ր երկրից էր Անտոն վան Լևենհուկը:
ՎԱՆ ԼՐԵՅՎԻ հետ հանդիպման ժամանակ նա նշեց, որ իր համար դա շատ կարև","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր երկրից էր Անտոն վան Լևենհուկը:
Answer: «Անցյալի գաղտնիքներ» գրքից։
Questions: Ի՞նչ է ասուած հոկտեմբեր ամսին ",0.6115933,0.58166325
who are paul revere's parents?,Paul Revere's parents were Apollos Rivoire and Deborah Hichborn.,ովքեր են Փոլ Ռիվերի ծնողները,Փոլ Ռիվերի ծնողներն էին Ապոլոս Ռիվուարը և Դեբորա Հիչբորնը։,"ովքեր են Փոլ Ռիվերի ծնողները: Նրա մայրը՝ Ջուդի Ռենեթը, հայտնի դերասանուց էր, իսկ համայնքու...","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ովքեր են Փոլ Ռիվերի ծնողները
Answer: The children of Henry David Thoreau arethree of us. We are twosome and we are not many years removed from their deaths. We are notusins to most of the great men and women in our lives.Henry David Thoreau was born on March 21, 1827 in the village of Chestnut Ridge, Oneida Co., NY. On March 18, 1855, his family moved to the village of Falls of New York. By that time the Three were lived only in one",0.8917313,0.6954768
what did egyptians speak?,The ancient Egyptians spoke the ancient Egyptian language.,ինչ էին խոսում եգիպտացիները,Հին եգիպտացիները խոսում էին հին եգիպտական ​​լեզվով:,"ինչ էին խոսում եգիպտացիները, որոնք հիմա էլ հայեր են: Հայելու մեջ նկատեցի, ոմանք այնքան հեռ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ինչ էին խոսում եգիպտացիները
Answer: - Խոսքը 16-րդ դարի եթերազրկման մասին
Question: - ի՞նչն ենք սիրո՞ւմ:
Answered: �",0.7969808,0.7369862
what type of political system is spain?,Spain is a constitutional monarchy.,ինչպիսի՞ քաղաքական համակարգ է Իսպանիան.,Իսպանիան սահմանադրական միապետություն է։,"ինչպիսի՞ քաղաքական համակարգ է Իսպանիան. հարցում | 1in.am
Իսակովի պողոտայուց դեպի Սարյան փող տանող 10 հասցենե","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ինչպիսի՞ քաղաքական համակարգ է Իսպանիան.
Answer:Ինչ է այն իրենից ներկայացնու...
Answer:Ո՞ վ կարա լինք դնի:
answer: Որովհե",0.7630812,0.7207074
where is new york in the map?,New York is located in the northeastern part of the United States.,որտեղ է գտնվում Նյու Յորքը քարտեզի վրա:,Նյու Յորքը գտնվում է ԱՄՆ-ի հյուսիսարևելյան մասում։,"որտեղ է գտնվում Նյու Յորքը քարտեզի վրա: Այս տարածքու...
Հուրի Գոգին հայտնաբերվել է ԱՄՆ-ու
Հետաքննու­�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: որտեղ է գտնվում Նյու Յորքը քարտեզի վրա:
Answer: The location of New York City is in the Greater New York City area.
Question?: Որտև Նոր Օքսֆուրդու...
Answer: New York is located in the Eastern Suburbs of New York City.
Question?: Ո ՞ր միջազ�",0.75187814,0.7143421
Who painted the Mona Lisa?,Leonardo da Vinci.,Ո՞վ է նկարել Մոնա Լիզան:,Լեոնարդո դա Վինչի.,"Ո՞վ է նկարել Մոնա Լիզան: Մինչ այդ նա նույնիսկ չէր էլ նշել, որ նման է Լեոնի դիմանկա...
Մ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է նկարել Մոնա Լիզան:
Answer: «Մորացիան» ներկեր է արտադրող գոր-ծա-կալու-թյո՞ւն:
Answers: Նկաև նշեմ",0.6757215,0.53619516
what guitar does duane allman play?,Duane Allman played a Gibson Les Paul guitar.,ի՞նչ կիթառ է նվագում duane allman-ը:,Դուան Ալմանը նվագել է Gibson Les Paul կիթառ:,"ի՞նչ կիթառ է նվագում duane allman-ը:
Duane Allman - Իմ կողմից կարող եմ ասել, որ ես նուրբ կլինի, բայց եթե նա �","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ի՞նչ կիթառ է նվագում duane allman-ը:
Answer: armstrongmusic կլիպը
answer: իրո՞ք ինքն իւնական կկամ
answer: armstrong-ը ից հոլովակ է ցուցադր�",0.8173456,0.70232224
what county is plainfield il in?,"Plainfield, IL is located in Will County.",Ո՞ր շրջանում է գտնվում Փլեյնֆիլդը:,"Plainfield, IL գտնվում է Ուիլ շրջան։","Ո՞ր շրջանում է գտնվում Փլեյնֆիլդը:
Այս շփման մեջ ես միշտ հանդիպու...
Անգլիայի հավաքականի երկրպագու ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր շրջանում է գտնվում Փլեյնֆիլդը:
Answer: Theveland շևջան գետի վրա գոր է առնված։
Questions: Ի՞նչ է արվեց Մոնտենեգրոյով",0.65901536,0.6003134
In what year did the Titanic sink?,The Titanic sank in 1912.,Ո՞ր թվականին է խորտակվել Տիտանիկը:,Տիտանիկը խորտակվել է 1912 թվականին։,"Ո՞ր թվականին է խորտակվել Տիտանիկը:
Այս թեմայով իմ հետաքրքիր հարցերին, որ կպատասխանեն բոլոր «պատվ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր թվականին է խորտակվել Տիտանիկը:
Answer: 1982 վիպակի գլխավոր հղուրը Հովհաննես Այվազով կրտսերնա։
Questions with answers will be deleted.
1.",0.75063765,0.6260831
What is the national animal of Russia?,The national animal of Russia is the brown bear.,Ո՞րն է Ռուսաստանի ազգային կենդանին:,Ռուսաստանի ազգային կենդանին գորշ արջն է։,"Ո՞րն է Ռուսաստանի ազգային կենդանին:
Ռոմանտիկ հանգիստ է անցկացնու իր համար միայն մեկ երկիրը՝ ՌՖՄ: ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Ռուսաստանի ազգային կենդանին:
Answer: The hound is a goat.
Question 1: Որտե՞ղ է ապրող ամերիկացի գրոարվերադարձող:
Answer 1: ԱՄՆ-ու�",0.8179718,0.69756985
